,user_index,candidate_newsindex,label
0,67,"[2541, 2541, 2541, 2540, 2541]","[0, 0, 0, 1, 0]"
1,32,"[2545, 2550, 2544, 2549, 2547]","[0, 0, 0, 1, 0]"
2,8,"[2572, 2579, 2587, 2580, 2559]","[0, 0, 0, 0, 1]"
3,10,"[2591, 2589, 2541, 2541, 2590]","[0, 0, 0, 0, 1]"
4,44,"[2638, 2616, 2595, 2604, 2612]","[0, 0, 1, 0, 0]"
5,7,"[2660, 2658, 2658, 2661, 2657]","[0, 0, 0, 0, 1]"
6,7,"[2541, 2541, 2541, 2659, 2541]","[0, 0, 0, 1, 0]"
7,1,"[2753, 2765, 2719, 2762, 2786]","[0, 0, 1, 0, 0]"
8,87,"[2546, 2650, 2823, 2824, 2825]","[0, 1, 0, 0, 0]"
9,40,"[2828, 2826, 2827, 2829, 2828]","[0, 1, 0, 0, 0]"
10,93,"[2830, 2540, 2540, 2540, 2540]","[1, 0, 0, 0, 0]"
11,78,"[2962, 2960, 2913, 2850, 3016]","[0, 0, 1, 0, 0]"
12,78,"[2576, 2556, 2557, 2968, 2560]","[0, 0, 0, 1, 0]"
13,2,"[2826, 3041, 3037, 2829, 3043]","[0, 0, 0, 0, 1]"
14,31,"[3053, 3047, 3057, 2742, 2682]","[1, 0, 0, 0, 0]"
15,63,"[3098, 3084, 3099, 2940, 3087]","[0, 0, 0, 0, 1]"
16,63,"[2541, 2541, 2541, 2541, 3088]","[0, 0, 0, 0, 1]"
17,4,"[2550, 3105, 3142, 3109, 2545]","[0, 0, 0, 0, 1]"
18,97,"[2767, 1005, 3150, 3147, 3151]","[0, 0, 0, 1, 0]"
19,21,"[3156, 3160, 3161, 3159, 3153]","[0, 0, 0, 1, 0]"
20,73,"[3277, 3283, 2682, 3052, 2769]","[0, 0, 1, 0, 0]"
21,73,"[2564, 2580, 2586, 3190, 2579]","[0, 0, 0, 1, 0]"
22,73,"[2562, 2556, 2541, 2566, 2574]","[0, 0, 1, 0, 0]"
23,62,"[3043, 3042, 2828, 2826, 2829]","[0, 1, 0, 0, 0]"
24,62,"[2646, 3034, 2620, 2628, 2625]","[0, 1, 0, 0, 0]"
25,9,"[3359, 3350, 2621, 3356, 3345]","[0, 0, 0, 0, 1]"
26,86,"[3422, 3408, 3402, 3372, 3378]","[0, 0, 1, 0, 0]"
27,11,"[2701, 3448, 422, 3447, 3445]","[0, 0, 1, 0, 0]"
28,23,"[2835, 3106, 3458, 3453, 3470]","[0, 0, 1, 0, 0]"
29,23,"[2580, 3480, 2575, 2576, 2557]","[0, 1, 0, 0, 0]"
30,15,"[3128, 2542, 3485, 2544, 3503]","[0, 0, 0, 1, 0]"
31,15,"[2621, 3120, 2593, 2597, 2643]","[0, 1, 0, 0, 0]"
32,15,"[2642, 2823, 2600, 2645, 2643]","[0, 1, 0, 0, 0]"
33,15,"[2541, 2591, 2541, 2589, 3114]","[0, 0, 0, 0, 1]"
34,69,"[581, 3528, 3509, 3520, 3512]","[0, 0, 0, 0, 1]"
35,69,"[2541, 2541, 2541, 3139, 2541]","[0, 0, 0, 1, 0]"
36,74,"[2591, 2541, 2760, 2540, 3529]","[0, 0, 0, 1, 0]"
37,20,"[3037, 3037, 3037, 3042, 3037]","[0, 0, 0, 1, 0]"
38,77,"[3481, 3473, 2826, 2835, 2959]","[0, 0, 1, 0, 0]"
39,35,"[3151, 3555, 2733, 2806, 2661]","[1, 0, 0, 0, 0]"
40,35,"[2626, 3131, 2608, 2596, 2614]","[0, 1, 0, 0, 0]"
41,35,"[2587, 2573, 2563, 581, 2574]","[0, 0, 0, 1, 0]"
42,35,"[2541, 2541, 2589, 2701, 2591]","[0, 0, 0, 1, 0]"
43,35,"[2541, 2589, 2591, 2541, 2788]","[0, 0, 0, 0, 1]"
44,35,"[2541, 2541, 2673, 2541, 2541]","[0, 0, 1, 0, 0]"
45,35,"[2830, 2560, 2556, 2584, 2570]","[1, 0, 0, 0, 0]"
46,94,"[3484, 2651, 2879, 3571, 2613]","[0, 0, 0, 1, 0]"
47,94,"[3522, 2547, 2552, 2543, 2544]","[1, 0, 0, 0, 0]"
48,33,"[3575, 3574, 3159, 3159, 3159]","[0, 1, 0, 0, 0]"
49,45,"[3577, 3527, 3144, 3578, 2647]","[0, 0, 0, 0, 1]"
50,66,"[3446, 3583, 647, 2427, 3591]","[1, 0, 0, 0, 0]"
51,64,"[3070, 3058, 3046, 2682, 442]","[0, 0, 0, 0, 1]"
52,12,"[3499, 3139, 3579, 3602, 3347]","[0, 0, 0, 1, 0]"
53,12,"[2562, 2554, 2558, 2562, 2578]","[1, 0, 0, 0, 0]"
54,58,"[2659, 2659, 3617, 2659, 2659]","[0, 0, 1, 0, 0]"
55,83,"[2703, 3075, 2541, 3302, 3618]","[0, 0, 1, 0, 0]"
56,0,"[2540, 2540, 2540, 2540, 2830]","[0, 0, 0, 0, 1]"
57,36,"[2602, 3038, 3043, 3626, 3351]","[0, 0, 0, 1, 0]"
