word,word_id
Outer,0
Banks,1
storms,2
unearth,3
old,4
shipwreck,5
'Graveyard,6
Atlantic,7
Best,8
worst,9
QB,10
performances,11
NFL,12
Week,13
7,14
Kevin,15
Spacey,16
Wo,17
n't,18
Be,19
Charged,20
Sexual,21
Assault,22
Case,23
After,24
Accuser,25
Dies,26
The,27
world,28
's,29
largest,30
nuclear,31
power,32
producer,33
melting,34
Have,35
little,36
piece,37
extra,38
skin,39
Everything,40
need,41
know,42
tags,43
Amelia,44
Bambridge,45
Body,46
missing,47
backpacker,48
found,49
sea,50
Patriots,51
wanted,52
test,53
Now,54
answers,55
Pregnant,56
U.S.,57
women,58
soccer,59
star,60
Alex,61
Morgan,62
still,63
plans,64
play,65
2020,66
Summer,67
Olympics,68
Air,69
Force,70
airman,71
fall,72
Gulf,73
Mexico,74
C-130,75
aircraft,76
Man,77
charged,78
5,79
counts,80
first-degree,81
murder,82
shooting,83
rampage,84
Chicago,85
condo,86
Holy,87
Grail,88
Of,89
Jeep,90
Grand,91
Cherokees,92
Sits,93
On,94
An,95
Old,96
Wisconsin,97
Dairy,98
Farm,99
But,100
It,101
May,102
Doomed,103
Four,104
repeatedly,105
escaping,106
prison,107
returning,108
booze,109
phones,110
Report,111
Angels,112
could,113
fined,114
2M,115
reporting,116
Skaggs,117
opioid,118
use,119
Coast,120
Guard,121
offloads,122
92,123
million,124
worth,125
smuggled,126
cocaine,127
San,128
Diego,129
Why,130
Giancarlo,131
Stanton,132
Yankees,133
playoff,134
roster,135
Rihanna,136
Slays,137
Sexy,138
Black,139
Bikini,140
Slow-Motion,141
Video,142
--,143
Watch,144
Scarlett,145
Johansson,146
Says,147
She,148
Was,149
'Surprised,150
Colin,151
Jost,152
Proposal,153
'He,154
Killed,155
Illegal,156
vapes,157
traced,158
California,159
woman,160
CBD,161
pioneer,162
30,163
Funny,164
Dog,165
Photos,166
You,167
Need,168
See,169
Joey,170
'the,171
Clown,172
Lombardo,173
infamous,174
mobster,175
dead,176
90,177
reports,178
say,179
Florida,180
man,181
arrested,182
beating,183
death,184
peeping,185
Tom,186
Burger,187
King,188
new,189
'Ghost,190
Whopper,191
haunt,192
Halloween,193
order,194
'Go,195
back,196
work,197
Outcry,198
deaths,199
Amazon,200
warehouse,201
floor,202
Rob,203
Kardashian,204
Appears,205
Thinner,206
Kim,207
Birthday,208
Party,209
Rare,210
Can,211
Find,212
Ghost,213
Hidden,214
Among,215
Skeletons,216
This,217
Tricky,218
Brainteaser,219
allegedly,220
shows,221
police,222
officer,223
roughing,224
11-year-old,225
girl,226
Soto,227
Nationals,228
edge,229
Astros,230
World,231
Series,232
opener,233
sheriff,234
deputy,235
shot,236
ride-along,237
injured,238
'active,239
shooter,240
incident,241
officials,242
16,243
transgender,244
celebrities,245
changing,246
television,247
threatened,248
school,249
distract,250
robbery,251
We,252
Hope,253
Ford,254
Bronco,255
Has,256
Taken,257
Notes,258
Suzuki,259
Jimny,260
uncertain,261
Scherzer,262
status,263
injection,264
Hyundai,265
fuel,266
cell,267
semi,268
concept,269
makes,270
Tesla,271
Semi,272
look,273
boring,274
How,275
Nats,276
respond,277
controversial,278
call,279
By,280
leaving,281
absolutely,282
doubt,283
To,284
Open,285
Without,286
Opener,287
Tent,288
Spent,289
Try,290
Luxury,291
Camping,292
"100,000",293
Airstream,294
TSA,295
Agents,296
Stop,297
Passenger,298
With,299
Loaded,300
Gun,301
Before,302
Boarding,303
Plane,304
Couple,305
Accused,306
Injecting,307
Childhood,308
Friend,309
Meth,310
Filming,311
Her,312
As,313
Died,314
ISIS,315
Leader,316
Paid,317
Rival,318
Protection,319
Betrayed,320
His,321
Own,322
Hennessey,323
Maximus,324
Is,325
1000-HP,326
Gladiator,327
Hell,328
fought,329
human,330
rights,331
tiny,332
island,333
banned,334
guns,335
Then,336
Bears,337
Khalil,338
Mack,339
calls,340
Eagles,341
C,342
Jason,343
Kelce,344
tactics,345
offsides,346
penalties,347
One,348
FBI,349
Most,350
Wanted,351
fugitives,352
offers,353
surrender,354
Ohio,355
Reputation,356
Must-Win,357
State,358
No,359
Longer,360
True,361
kitchens,362
taking,363
fast-food,364
chains,365
Chick-fil-A,366
Wendy,367
Baker,368
Mayfield,369
blasts,370
Browns,371
loss,372
Refs,373
'pretty,374
bad,375
today,376
'Wheel,377
Fortune,378
Guest,379
Delivers,380
Hilarious,381
Off,382
Rails,383
Introduction,384
pitcher,385
criticized,386
game,387
daughter,388
birth,389
Gordon,390
Ramsay,391
Ferrari,392
Monza,393
SP2,394
Looks,395
Delicious,396
Trent,397
Williams,398
Cleveland,399
rumor,400
emerges,401
What,402
Do,403
Old-School,404
Mustang,405
Guys,406
Think,407
Kia,408
Stinger,409
Russia,410
questions,411
language,412
``,413
unusual,414
'',415
Trump,416
letter,417
Erdogan,418
'The,419
Office,420
Jenna,421
Fischer,422
responds,423
Chrissy,424
Teigen,425
theory,426
Jim,427
Pam,428
divorced,429
​Are,430
stealing,431
signs,432
gain,433
ALCS,434
Hopefully,435
McConnell,436
tees,437
government,438
funding,439
votes,440
amid,441
stalemate,442
campaign,443
threatens,444
sue,445
CNN,446
citing,447
Project,448
Veritas,449
videos,450
Kaepernick,451
perfect,452
replacement,453
Patrick,454
Mahomes,455
Ian,456
Rapoport,457
MRI,458
results,459
good,460
news,461
Kansas,462
City,463
Chiefs,464
Next,465
prepare,466
life,467
without,468
Moore,469
British,470
PM,471
denied,472
Brexit,473
deal,474
vote,475
Giants,476
go,477
Eli,478
Manning,479
Daniel,480
Jones,481
struggles,482
'You,483
people,484
phony,485
Emoluments,486
Clause,487
Cabinet,488
meeting,489
devolves,490
71,491
minutes,492
grievances,493
Urban,494
legend,495
Cowboys,496
rout,497
helped,498
take,499
Coach,500
Meyer,501
conversation,502
Verizon,503
give,504
wireless,505
customers,506
year,507
Disney+,508
House,509
rejects,510
GOP,511
measure,512
censuring,513
Schiff,514
Randy,515
Moss,516
takes,517
dig,518
Joe,519
Buck,520
'disgusting,521
act,522
Poll,523
50,524
support,525
impeaching,526
removing,527
office,528
Pizza,529
Hut,530
testing,531
round,532
pizza,533
box,534
looks,535
like,536
spaceship,537
meant,538
keep,539
fresher,540
Biden,541
lead,542
Democratic,543
primary,544
hits,545
widest,546
margin,547
since,548
April,549
Films,550
signed,551
airing,552
Sam,553
Darnold,554
'ghosts,555
comment,556
already,557
practice,558
Facebook,559
Zuckerberg,560
grilled,561
AOC,562
fact-checking,563
policy,564
political,565
ads,566
Suns,567
Deandre,568
Ayton,569
suspended,570
25,571
games,572
violating,573
NBA,574
anti-drug,575
Payton,576
declines,577
name,578
Saints,579
starting,580
8,581
Jenkins,582
scorching,583
response,584
Scandrick,585
ripping,586
Flacco,587
criticizes,588
Broncos,589
coaches,590
'afraid,591
lose,592
Colts,593
comeback,594
J.J.,595
Watt,596
sobering,597
quote,598
season-ending,599
injury,600
Shelby,601
GT500,602
Aero,603
Performance,604
Cooling,605
Justice,606
Dept,607
appeals,608
Mueller,609
grand,610
jury,611
testimony,612
Jets,613
trade,614
DL,615
Leonard,616
Burning,617
Dolphins,618
vs.,619
Steelers,620
'Monday,621
Night,622
Football,623
President,624
reacted,625
getting,626
loudly,627
booed,628
Graham,629
claims,630
victory,631
impeachment,632
First,633
Drive,634
Apex,635
Predator,636
Turning,637
Drivers,638
Into,639
Track,640
Stars,641
AP,642
source,643
ends,644
holdout,645
Redskins,646
LA,647
Getty,648
fire,649
sparked,650
downed,651
lines,652
Mayor,653
Garcetti,654
says,655
Democrats,656
unveil,657
procedures,658
inquiry,659
rebutting,660
attacks,661
Joel,662
Embiid,663
Karl-Anthony,664
Towns,665
likely,666
facing,667
multi-game,668
bans,669
roles,670
brawl,671
Testimony,672
White,673
lawyer,674
told,675
Vindman,676
discuss,677
Ukraine,678
vs,679
Cause,680
determined,681
Jessi,682
Combs,683
fatal,684
speed,685
record,686
crash,687
Winners,688
losers,689
win,690
Harlan,691
streaking,692
cat,693
'MNF,694
epic,695
MetLife,696
Stadium,697
searching,698
famous,699
black,700
Mach,701
E,702
Electric,703
SUV,704
Spied,705
Looking,706
...,707
Interesting,708
Robert,709
Forster,710
Oscar-Nommed,711
Star,712
'Jackie,713
Brown,714
78,715
replacing,716
McAleenan,717
acting,718
DHS,719
secretary,720
James,721
Comey,722
Would,723
Like,724
Help,725
Serial,726
stowaway,727
airport,728
2nd,729
time,730
Mattis,731
surge,732
Syria,733
withdrawal,734
Renowned,735
DJ,736
Zedd,737
Permanently,738
Banned,739
From,740
China,741
Liking,742
'South,743
Park,744
Tweet,745
Hunter,746
Steps,747
Down,748
Chinese,749
Board,750
Attacks,751
A,752
'one,753
yellow,754
cardinal,755
dubbed,756
'Sunny,757
seen,758
Exclusive,759
Giuliani,760
paid,761
"500,000",762
consult,763
indicted,764
associate,765
firm,766
wo,767
comply,768
congressional,769
subpoena,770
Ex-Rep,771
Sessions,772
Subpoenaed,773
Over,774
Interactions,775
Lawyer,776
probe,777
business,778
dealings,779
began,780
early,781
2019,782
convulsed,783
second,784
mass,785
two,786
days,787
Woman,788
suspect,789
'Tarzan,790
actor,791
Ron,792
Ely,793
residence,794
Strong,795
quake,796
Philippines,797
kills,798
one,799
injures,800
dozens,801
Pompeo,802
former,803
senior,804
adviser,805
appear,806
committees,807
Wednesday,808
Feds,809
'largest,810
dark,811
web,812
child,813
porn,814
marketplace,815
Senate,816
try,817
override,818
emergency,819
declaration,820
veto,821
Thursday,822
Jeffrey,823
Epstein,824
accuser,825
lawsuit,826
Alan,827
Dershowitz,828
proceed,829
judge,830
rules,831
voters,832
express,833
angst,834
Fort,835
Worth,836
Officers,837
asked,838
welfare,839
check,840
Here,841
changed,842
things,843
botches,844
Explorer,845
launch,846
putting,847
CEO,848
hot,849
seat,850
bear-repellent,851
attack,852
protesters,853
Santa,854
Monica,855
Pier,856
Knew,857
Aid,858
Freeze,859
Early,860
August,861
Undermining,862
Defense,863
Phoenix,864
involved,865
viral,866
video,867
stop,868
couple,869
fired,870
education,871
official,872
resign,873
student,874
loan,875
forgiveness,876
Deer,877
fatally,878
hunter,879
Philadelphia,880
Police,881
Chief,882
Inspector,883
Carl,884
Holmes,885
Indicted,886
Jury,887
Sex,888
Assault-Related,889
Charges,890
Navy,891
lieutenant,892
wife,893
defrauding,894
United,895
States,896
American,897
Airlines,898
flight,899
attendants,900
Miami,901
accused,902
money,903
laundering,904
Lori,905
Loughlin,906
'Absolutely,907
Terrified,908
Being,909
Hit,910
New,911
Charge,912
Harry,913
Dunn,914
family,915
launches,916
legal,917
action,918
UK,919
Foreign,920
Fast-moving,921
Water,922
Bernardino,923
homes,924
forces,925
evacuations,926
Indiana,927
attorney,928
general,929
testifies,930
grope,931
assistant,932
GM,933
'inappropriate,934
comments,935
hopes,936
'Mustang-inspired,937
shock,938
electric,939
vehicle,940
Mysteriously,941
removed,942
Ann,943
Arbor,944
elementary,945
principal,946
waiting,947
Former,948
advisor,949
John,950
Bolton,951
lawyers,952
contact,953
panels,954
inheritance,955
big,956
Tick,957
Residents,958
tally,959
losses,960
firefighters,961
battle,962
flames,963
high,964
winds,965
sad,966
day,967
Louisiana,968
teacher,969
face,970
60,971
rape,972
accusations,973
